_id,Insegnamento,Hash Docente/i,Inizio Periodo di Riferimento,Fine Periodo di Riferimento,Produttivita Studenti - N,Produttivita Studenti - P>=24,Produttivita Studenti - P<24,Produttivita Studenti - Media,Produttivita Studenti - Std Dev,Carico di lavoro accettabile - Media,Carico di lavoro accettabile - Std Dev,Carico di lavoro accettabile - P<6,Carico di lavoro accettabile - P>=6,Carico di lavoro accettabile - N,Organizzazione corso - Media,Organizzazione corso - Std Dev,Organizzazione corso - P<6,Organizzazione corso - P>=6,Organizzazione corso - N,Orario consente studio individuale - Media,Orario consente studio individuale - Std Dev,Orario consente studio individuale - P<6,Orario consente studio individuale - P>=6,Orario consente studio individuale - N,Carico di studio proporzionato a credti - Media,Carico di studio proporzionato a credti - Std Dev,Carico di studio proporzionato a credti - P<6,Carico di studio proporzionato a credti - P>=6,Carico di studio proporzionato a credti - N,Materiale didattico adeguato - Media,Materiale didattico adeguato - Std Dev,Materiale didattico adeguato - P<6,Materiale didattico adeguato - P>=6,Materiale didattico adeguato - N,Attivita integrative utili - Media,Attivita integrative utili - Std Dev,Attivita integrative utili - P<6,Attivita integrative utili - P>=6,Attivita integrative utili - N,Modalita esame chiare - Media,Modalita esame chiare - Std Dev,Modalita esame chiare - P<6,Modalita esame chiare - P>=6,Modalita esame chiare - N,Orari rispettati - Media,Orari rispettati - Std Dev,Orari rispettati - P<6,Orari rispettati - P>=6,Orari rispettati - N,Docente reperibile - Media,Docente reperibile - Std Dev,Docente reperibile - P<6,Docente reperibile - P>=6,Docente reperibile - N,Docente stimola interesse - Media,Docente stimola interesse - Std Dev,Docente stimola interesse - P<6,Docente stimola interesse - P>=6,Docente stimola interesse - N,Docente chiaro - Media,Docente chiaro - Std Dev,Docente chiaro - P<6,Docente chiaro - P>=6,Docente chiaro - N,Docente disponibile ed esauriente - Media,Docente disponibile ed esauriente - Std Dev,Docente disponibile ed esauriente - P<6,Docente disponibile ed esauriente - P>=6,Docente disponibile ed esauriente - N,Aule lezioni adeguate - Media,Aule lezioni adeguate - Std Dev,Aule lezioni adeguate - P<6,Aule lezioni adeguate - P>=6,Aule lezioni adeguate - N,Strumenti e locali adeguati - Media,Strumenti e locali adeguati - Std Dev,Strumenti e locali adeguati - P<6,Strumenti e locali adeguati - P>=6,Strumenti e locali adeguati - N,Soddisfazione complessiva corso - Media,Soddisfazione complessiva corso - Std Dev,Soddisfazione complessiva corso - P<6,Soddisfazione complessiva corso - P>=6,Soddisfazione complessiva corso - N,Conoscenze preliminari sufficienti - Media,Conoscenze preliminari sufficienti - Std Dev,Conoscenze preliminari sufficienti - P<6,Conoscenze preliminari sufficienti - P>=6,Conoscenze preliminari sufficienti - N,Argomenti trattati nuovi o integrativi - Media,Argomenti trattati nuovi o integrativi - Std Dev,Argomenti trattati nuovi o integrativi - P<6,Argomenti trattati nuovi o integrativi - P>=6,Argomenti trattati nuovi o integrativi - N,Argomenti interessanti - Media,Argomenti interessanti - Std Dev,Argomenti interessanti - P<6,Argomenti interessanti - P>=6,Argomenti interessanti - N
ObjectId(5abe3840846205483a614494),PROGRAMMAZIONE,3b39f82d987b29f1f9f21898e14764b7,2011-01-01,2011-12-31,0-20,80-100,0-20,26-28,2-3.5,7-8,2-3.5,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,4-6,1-2,80-100,0-20,0-20,6-7,2-3.5,40-60,40-60,0-20,7-8,1-2,20-40,60-80,0-20,7-8,2-3.5,0-20,80-100,0-20,7-8,2-3.5,20-40,60-80,0-20,4-6,1-2,60-80,20-40,0-20,4-6,2-3.5,60-80,20-40,0-20,7-8,2-3.5,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,8-10,2-3.5,0-20,80-100,0-20,4-6,2-3.5,60-80,20-40,0-20,4-6,2-3.5,60-80,20-40,0-20,8-10,2-3.5,0-20,80-100,0-20,4-6,2-3.5,60-80,20-40,0-20
ObjectId(5abe3840846205483a614495),MATEMATICA DISCRETA E LOGICA,093168e8d48ba79b3f4d639a9076bb91,2011-01-01,2011-12-31,0-20,40-60,40-60,24-26,3.5-5,6-7,1-2,20-40,60-80,20-40,6-7,1-2,20-40,60-80,20-40,7-8,1-2,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,20-40,6-7,2-3.5,40-60,40-60,20-40,N.C.,N.C.,N.C.,N.C.,<5,7-8,1-2,0-20,80-100,20-40,8-10,2-3.5,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,1-2,20-40,60-80,20-40,7-8,1-2,20-40,60-80,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,6-7,0-1,0-20,80-100,0-20,6-7,1-2,20-40,60-80,20-40,6-7,2-3.5,40-60,40-60,20-40,6-7,2-3.5,20-40,60-80,20-40,6-7,1-2,20-40,60-80,20-40
ObjectId(5abe3840846205483a614496),ARCHITETTURE DEGLI ELABORATORI,cc322b892a6ee9374534bbba4c0fb9bb,2011-01-01,2011-12-31,0-20,80-100,0-20,28-31,1-2,6-7,1-2,20-40,60-80,20-40,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,1-2,20-40,60-80,20-40,6-7,1-2,20-40,60-80,20-40,7-8,1-2,20-40,60-80,20-40,7-8,1-2,20-40,60-80,20-40,8-10,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,4-6,1-2,80-100,0-20,20-40,4-6,1-2,60-80,20-40,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,1-2,20-40,60-80,20-40,6-7,1-2,40-60,40-60,20-40,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a614497),ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,4eb03b40d3853b0c860cf9a6bb332442,2011-01-01,2011-12-31,0-20,60-80,20-40,26-28,3.5-5,6-7,1-2,20-40,60-80,0-20,7-8,1-2,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,6-7,2-3.5,40-60,40-60,0-20,6-7,1-2,20-40,60-80,0-20,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,6-7,1-2,20-40,60-80,0-20,6-7,1-2,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,7-8,2-3.5,20-40,60-80,0-20,6-7,2-3.5,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,6-7,1-2,20-40,60-80,0-20
ObjectId(5abe3840846205483a614498),ALGORITMI E STRUTTURE DATI,0b864c40713850a811e817d9ad60fc4b,2011-01-01,2011-12-31,20-40,60-80,20-40,24-26,3.5-5,7-8,1-2,20-40,60-80,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,20-40,7-8,2-3.5,20-40,60-80,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a614499),ALGORITMI E STRUTTURE DATI,5f11ff65ac8c1970ee99aa1c24ec538b,2012-01-01,2012-12-31,20-40,80-100,0-20,26-28,2-3.5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,40-60,,,,,,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,40-60,,,,,,,,,,,8-10,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a61449a),ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,9ee57ae2d8e689dbc9692f10bcc30c56,2012-01-01,2012-12-31,0-20,80-100,0-20,26-28,3.5-5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,8-10,1-2,0-20,80-100,40-60,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,8-10,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a61449b),ARCHITETTURE DEGLI ELABORATORI,39d5e3f230b896046961cf11ae14a7db,2012-01-01,2012-12-31,0-20,60-80,20-40,24-26,2-3.5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,0-20,7-8,0-1,0-20,80-100,0-20,N.C.,N.C.,N.C.,N.C.,<5,7-8,1-2,0-20,80-100,0-20,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,0-20,,,,,,,,,,,7-8,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20
ObjectId(5abe3840846205483a61449c),MATEMATICA DISCRETA E LOGICA,f4409ea69dae5150cf6c950cfdd90710,2012-01-01,2012-12-31,0-20,20-40,60-80,22-24,1-2,,,,,,,,,,,,,,,,7-8,2-3.5,20-40,60-80,40-60,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,40-60,,,,,,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,40-60,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a61449d),PROGRAMMAZIONE,57d97808940049413507a7a2a18e7972,2012-01-01,2012-12-31,20-40,40-60,40-60,22-24,2-3.5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5
