Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],"Produttivita Studenti - Ritardo [semestre, media]",Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - N [istanze],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val [media pesata],Valutazione Insegnamento - Aule ed attrezzature - N [istanze],Valutazione Insegnamento - Aule ed attrezzature - Std Dev [media pesata],Valutazione Insegnamento - Aule ed attrezzature - Val >= 6 [percent],Valutazione Insegnamento - Aule ed attrezzature - Val [media pesata],Valutazione Insegnamento - Docente - N [istanze],Valutazione Insegnamento - Docente - Std Dev [media pesata],Valutazione Insegnamento - Docente - Val >= 6 [percent],Valutazione Insegnamento - Docente - Val [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - N [istanze],Valutazione Insegnamento - Informazioni aggiuntive - Std Dev [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - Val >= 6 [percent],Valutazione Insegnamento - Informazioni aggiuntive - Val [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - N [istanze],Valutazione Insegnamento - Organizzazione Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Corso di Studi - Val [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - N [istanze],Valutazione Insegnamento - Organizzazione Insegnamento - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Soddisfazione - N [istanze],Valutazione Insegnamento - Soddisfazione - Std Dev [media pesata],Valutazione Insegnamento - Soddisfazione - Val >= 6 [percent],Valutazione Insegnamento - Soddisfazione - Val [media pesata]
2015-2016,f6af79bac8bb,INTERPRETI E COMPILATORI,45,20,0.36,82.22,26.16,2.8,33,1.59,95.45,8.47,,,,,41,1.41,94.63,8.34,,,,,,,,,47,1.42,96.17,8.35,54,1.92,89.81,7.84
2015-2016,3bbe80b19b92,INFORMATICA TEORICA,13,38,0.54,38.46,23.08,3.27,19,2.64,79.49,8,,,,,22,2.61,67.86,6.5,,,,,,,,,23,2.49,69.78,6.56,26,2.32,67.92,6.45
2015-2016,7acf3f684e24,RETI DI CALCOLATORI,35,46,0.89,91.43,27.6,2.77,33,2,87.88,7.83,,,,,34,1.97,92.49,8.21,,,,,,,,,36,2.06,86.3,7.77,38,1.86,94.74,8.04
2015-2016,fc2f8485971a,CALCOLO NUMERICO,27,0,0,55.56,24.04,3.89,46,2.89,75,6.86,,,,,47,2.82,69.87,6.56,,,,,,,,,48,2.85,52.4,5.46,51,2.76,55.89,5.49
2014-2015,f6af79bac8bb,INTERPRETI E COMPILATORI,39,33,0.56,82.05,25.92,2.88,19,1.75,94.74,8.24,,,,,25,1.97,86.05,7.87,,,,,,,,,31,1.93,84.21,7.55,36,1.92,84.72,7.04
2014-2015,3bbe80b19b92,INFORMATICA TEORICA,17,94,1.41,58.82,23.76,3.81,14,2.56,82.14,7.5,,,,,17,2.12,73.03,6.5,,,,,,,,,20,2.32,58.87,5.59,24,2.32,64.58,5.25
2014-2015,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,49,53,1.2,67.35,25.92,3.84,40,2.27,77.5,6.74,,,,,46,2.4,66.52,5.88,,,,,,,,,51,2.39,72.82,6.47,57,2.52,70.18,6.15
2014-2015,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,51,41,0.65,82.35,26.22,2.8,47,1.09,100,8.88,,,,,50,1.26,96.44,8.85,,,,,,,,,54,1.66,92.31,8.2,57,1.34,97.37,8.76
2014-2015,09592ea51603,SISTEMI OPERATIVI,45,56,1.18,66.67,25.33,2.73,30,1.71,93.33,8.05,,,,,36,1.81,90.76,7.83,,,,,,,,,45,1.78,88.89,7.75,48,1.66,87.5,7.7
2014-2015,b7322f753612,ALGEBRA LINEARE,57,37,0.79,42.11,22.96,4.06,60,1.39,99.16,8.54,,,,,67,1.82,88.76,7.75,,,,,,,,,73,1.71,90.25,7.82,79,1.93,87.42,7.29
2014-2015,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,54,28,0.43,51.85,24.39,3.71,43,1.94,90.81,7.95,,,,,52,2.12,86.31,7.63,,,,,,,,,62,1.9,91.93,8.07,66,1.82,90.9,7.87
2014-2015,7acf3f684e24,RETI DI CALCOLATORI,31,35,0.68,93.55,27.55,2.54,39,1.67,92.4,8.25,,,,,42,1.76,91.04,8.33,,,,,,,,,45,1.77,89.38,8.06,47,1.65,92.56,8.51
