Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],"Produttivita Studenti - Ritardo [semestre, media]",Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],"Valutazione Insegnamento - N [media, istanze]",Valutazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Std Dev [media pesata],"Valutazione Insegnamento - Val >= 6 [media, percent]"
2015-2016,f6af79bac8bb,INTERPRETI E COMPILATORI,45,20,0.36,82.22,26.16,2.8,44,8.25,1.58,94.02
2015-2016,3bbe80b19b92,INFORMATICA TEORICA,13,38,0.54,38.46,23.08,3.27,22,6.88,2.52,71.26
2015-2016,7acf3f684e24,RETI DI CALCOLATORI,35,46,0.89,91.43,27.6,2.77,35,7.96,1.97,90.35
2015-2016,fc2f8485971a,CALCOLO NUMERICO,27,0,0,55.56,24.04,3.89,48,6.09,2.83,63.29
2014-2015,f6af79bac8bb,INTERPRETI E COMPILATORI,39,33,0.56,82.05,25.92,2.88,28,7.68,1.89,87.43
2014-2015,3bbe80b19b92,INFORMATICA TEORICA,17,94,1.41,58.82,23.76,3.81,19,6.21,2.33,69.66
2014-2015,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,49,53,1.2,67.35,25.92,3.84,48,6.31,2.4,71.75
2014-2015,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,51,41,0.65,82.35,26.22,2.8,52,8.67,1.34,96.53
2014-2015,09592ea51603,SISTEMI OPERATIVI,45,56,1.18,66.67,25.33,2.73,40,7.83,1.74,90.12
2014-2015,b7322f753612,ALGEBRA LINEARE,57,37,0.79,42.11,22.96,4.06,70,7.85,1.71,91.4
2014-2015,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,54,28,0.43,51.85,24.39,3.71,56,7.88,1.95,89.99
2014-2015,7acf3f684e24,RETI DI CALCOLATORI,31,35,0.68,93.55,27.55,2.54,43,8.29,1.71,91.34
2014-2015,fc2f8485971a,CALCOLO NUMERICO,24,0,0,62.5,24.04,2.99,43,7.67,1.63,89.99
2011-2012,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,16,44,0.81,93.75,27.44,2.78,16,8.05,1.4,95.79
2011-2012,d5ea9d863079,SISTEMI OPERATIVI,14,50,0.93,92.86,26.29,2.08,20,8.15,1.43,94.58
2011-2012,3cba32344644,ALGORITMI E STRUTTURE DATI,35,17,0.4,77.14,25.49,2.69,48,8.49,1.43,96.5
2011-2012,2b1ffcc8eee2,PROGRAMMAZIONE CONCORRENTE,18,61,1.72,61.11,25.06,4.25,27,7.63,1.97,85.45
2011-2012,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,22,77,2.18,27.27,21.36,3.26,40,7.93,1.63,91.75
2011-2012,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,16,62,1.12,81.25,26.56,3.1,22,8.4,1.42,94.27
2011-2012,b7322f753612,ALGEBRA LINEARE,20,30,0.5,55,24.55,4.71,40,8.06,1.56,94.15
2011-2012,46a40e083cb3,PROGRAMMAZIONE,32,38,0.78,56.25,23.88,2.61,36,7.87,1.7,90.9
2011-2012,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,23,61,1.26,56.52,24.35,3.21,26,7.89,1.55,92.7
2011-2012,d67481237fa7,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,33,48,0.97,66.67,24.64,3.18,39,8.46,1.48,96.5
2013-2014,02ec81a0c16a,SISTEMI OPERATIVI,39,49,1.18,76.92,25.46,2.45,36,7.62,1.61,86.47
2013-2014,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,56,57,1.27,58.93,24.41,3.99,60,7.3,2.01,82.95
2013-2014,fc2f8485971a,CALCOLO NUMERICO,8,12,0.12,62.5,23.62,3.04,24,8.03,1.42,92.39
2013-2014,3cba32344644,ALGORITMI E STRUTTURE DATI,71,3,0.04,78.87,25.89,3.23,100,8.39,1.43,92.2
2013-2014,ea586dede443,MATEMATICA DISCRETA E LOGICA,51,59,1.67,50.98,23.65,3.5,78,7.66,1.77,87.99
2013-2014,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,41,24,0.46,56.1,24.56,3.19,43,7.75,1.76,90.21
2013-2014,b3d82fea348c,PROGRAMMAZIONE,61,33,0.44,80.33,25.95,3.19,86,7.56,2,85.23
2013-2014,bfe4b3521c4f,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,65,17,0.38,81.54,26.58,3.23,88,8.26,1.65,92.18
2013-2014,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,43,40,0.74,86.05,26.65,2.68,40,7.87,1.86,88.84
2013-2014,7acf3f684e24,RETI DI CALCOLATORI,14,50,0.93,92.86,27.57,2.13,25,8.48,1.39,95.52
2013-2014,b7322f753612,ALGEBRA LINEARE,46,65,1.3,63.04,24.63,3.93,36,7.36,1.71,83.72
2013-2014,9000fdc450fb,INFORMATICA TEORICA,8,62,1,50,23.75,3.8,30,7.43,1.86,87.59
2013-2014,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,42,31,0.45,47.62,23.69,3.79,45,7.33,1.88,83.99
