@relation students_career

@attribute StudentID {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}
@attribute ExamID {1_ASD, 1_ADE, 1_AN1, 1_PRG, 1_MDL, 1_ENG, 2_1_ALG, 2_1_MDP, 2_1_CPS, 2_1_PRC, 2_2_AN2, 2_2_FIG, 2_2_BDS, 2_2_SOP, 3_1_REC, 3_1_INC, 3_1_CAZ, 3_2_CAN, 3_2_ITE, 3_2_CES}

@data
1,1_AN1
1,1_PRG
1,1_ASD
1,2_1_ALG
1,2_1_CPS
1,1_ADE
1,2_2_AN2
1,1_ENG
1,1_MDL
1,2_2_BDS
1,2_2_SOP
1,2_1_PRC
1,3_2_CAN
1,3_2_CES
1,2_1_MDP
1,3_1_CAZ
1,3_1_REC
1,3_2_ITE
2,1_AN1
2,1_PRG
2,1_ENG
2,2_1_ALG
2,2_1_CPS
2,2_2_AN2
2,1_MDL
2,2_2_BDS
2,2_1_PRC
2,1_ASD
2,2_1_MDP
2,3_2_CES
2,2_2_SOP
3,1_ASD
3,1_MDL
3,1_PRG
3,1_ADE
3,1_AN1
3,2_1_CPS
3,2_1_PRC
3,2_2_AN2
3,2_2_FIG
3,2_1_ALG
3,2_1_MDP
4,1_ENG
4,1_ADE
4,1_MDL
4,1_PRG
4,1_ASD
4,1_AN1
5,1_PRG
5,1_ADE
5,1_ASD
5,1_MDL
5,1_AN1
5,2_1_CPS
5,2_1_MDP
5,2_2_BDS
5,2_2_SOP
5,2_1_PRC
5,3_1_REC
5,2_1_ALG
5,2_2_AN2
5,3_2_CES
6,1_ENG
6,1_ASD
6,1_PRG
6,1_ADE
6,2_1_PRC
6,1_MDL
6,2_2_SOP
6,2_1_ALG
6,2_1_MDP
6,1_AN1
6,2_1_CPS
6,2_2_AN2
6,2_2_BDS
6,3_1_REC
7,1_ASD
7,1_PRG
7,1_AN1
7,1_ENG
7,2_1_PRC
7,2_1_MDP
7,2_2_AN2
7,3_1_CAZ
7,2_1_ALG
8,1_AN1
8,1_PRG
8,1_ASD
8,1_ENG
8,2_1_PRC
8,2_1_CPS
8,2_2_AN2
8,2_1_MDP
8,2_1_ALG
9,1_ASD
9,1_PRG
9,1_AN1
9,1_ADE
9,2_1_CPS
9,2_2_AN2
9,1_MDL
9,2_2_BDS
9,2_1_PRC
9,2_1_ALG
9,2_2_SOP
9,3_1_REC
9,3_2_CAN
9,3_2_CES
9,2_1_MDP
9,3_2_ITE
10,1_PRG
10,1_AN1
10,1_ASD
10,1_ENG
