@relation students_career

@attribute StudentID {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80}
@attribute ExamID {1_ASD, 1_ADE, 1_AN1, 1_PRG, 1_MDL, 1_ENG, 2_1_ALG, 2_1_MDP, 2_1_CPS, 2_1_PRC, 2_2_AN2, 2_2_FIG, 2_2_BDS, 2_2_SOP, 3_1_REC, 3_1_INC, 3_1_CAZ, 3_2_CAN, 3_2_ITE, 3_2_CES}

@data
1,1_ASD
1,1_PRG
1,1_AN1
1,1_ADE
1,1_MDL
1,2_1_ALG
1,2_1_MDP
1,2_1_CPS
1,1_ENG
1,2_1_PRC
1,2_2_AN2
1,2_2_SOP
1,2_2_BDS
1,3_1_REC
1,3_1_INC
1,3_1_CAZ
1,2_2_FIG
1,3_2_CAN
1,3_2_ITE
2,1_AN1
2,1_ADE
2,1_ASD
2,1_PRG
2,2_1_ALG
2,2_1_MDP
2,2_1_PRC
2,2_2_AN2
2,2_2_BDS
2,2_2_SOP
2,3_1_INC
2,1_MDL
2,3_1_REC
2,3_2_CAN
2,2_1_CPS
3,1_ENG
3,1_AN1
3,1_MDL
4,1_AN1
4,1_ASD
4,2_1_ALG
4,2_1_CPS
4,1_ENG
4,2_2_AN2
4,1_PRG
4,1_MDL
4,3_1_CAZ
5,1_ASD
5,1_AN1
5,1_ADE
5,1_ENG
5,1_PRG
5,2_1_ALG
5,2_1_CPS
5,2_1_PRC
5,2_1_MDP
5,2_2_AN2
5,2_2_SOP
5,2_2_BDS
5,1_MDL
5,3_1_INC
5,3_1_REC
5,3_1_CAZ
5,3_2_CAN
5,3_2_ITE
5,2_2_FIG
6,1_ENG
6,1_ASD
6,1_PRG
6,1_AN1
6,1_ADE
6,2_1_ALG
6,2_1_CPS
6,2_1_MDP
6,2_2_SOP
6,2_2_AN2
6,2_2_BDS
6,2_1_PRC
6,1_MDL
6,3_1_REC
6,3_1_CAZ
6,3_1_INC
6,3_2_CAN
6,2_2_FIG
7,1_ASD
7,1_PRG
7,1_AN1
7,2_1_ALG
7,2_1_MDP
7,1_ADE
7,2_2_BDS
7,2_2_SOP
7,2_1_PRC
7,2_1_CPS
7,2_2_AN2
7,3_2_CAN
7,1_MDL
7,3_1_REC
7,3_1_INC
8,1_ASD
8,1_PRG
8,1_AN1
8,1_ENG
8,2_1_MDP
8,2_2_AN2
8,2_2_BDS
8,2_1_ALG
8,1_ADE
8,1_MDL
8,2_2_SOP
9,1_ASD
9,1_PRG
9,1_AN1
9,1_ADE
9,2_2_BDS
9,2_1_PRC
9,2_1_MDP
9,1_MDL
9,3_1_INC
9,2_2_SOP
9,2_2_AN2
9,2_1_ALG
9,2_1_CPS
9,3_1_REC
11,1_ENG
11,1_AN1
12,1_ENG
12,1_ASD
12,1_MDL
12,1_AN1
12,1_PRG
12,1_ADE
12,2_1_ALG
12,2_1_MDP
12,2_1_PRC
12,2_2_BDS
12,2_1_CPS
12,2_2_SOP
12,2_2_AN2
12,3_1_INC
13,1_ENG
13,1_ASD
13,1_PRG
13,2_1_MDP
13,1_AN1
13,2_1_ALG
13,2_2_BDS
13,2_2_AN2
13,2_1_PRC
13,1_ADE
13,2_2_SOP
14,1_ENG
14,1_ASD
14,1_ADE
14,1_AN1
14,1_PRG
14,2_1_PRC
14,2_2_BDS
14,2_1_ALG
14,2_1_MDP
14,2_1_CPS
14,2_2_AN2
14,2_2_SOP
14,1_MDL
14,3_1_INC
14,3_1_CAZ
14,3_1_REC
14,3_2_CAN
14,2_2_FIG
15,1_ENG
15,1_ASD
15,1_PRG
15,1_AN1
15,1_MDL
15,2_1_CPS
15,2_1_MDP
15,1_ADE
15,2_1_ALG
15,2_2_BDS
15,2_2_SOP
15,2_2_AN2
15,2_1_PRC
15,3_1_INC
15,3_1_REC
15,3_1_CAZ
15,2_2_FIG
16,1_ENG
16,1_ASD
16,1_ADE
16,1_AN1
16,1_PRG
16,2_1_MDP
16,2_2_BDS
17,1_ASD
17,1_MDL
17,1_ADE
17,1_PRG
17,2_1_ALG
17,2_2_BDS
17,1_AN1
17,3_1_INC
17,2_2_AN2
17,2_1_MDP
18,1_PRG
19,1_ENG
19,1_AN1
19,1_ASD
19,1_PRG
19,1_MDL
19,2_1_ALG
19,1_ADE
19,2_1_PRC
19,2_1_MDP
19,2_2_BDS
19,2_2_AN2
19,2_2_SOP
19,2_1_CPS
19,3_1_CAZ
19,3_1_INC
19,3_1_REC
19,3_2_CAN
19,3_2_ITE
20,1_ASD
20,1_MDL
21,1_PRG
21,1_ASD
21,1_ENG
21,2_2_BDS
21,2_1_MDP
21,1_ADE
21,2_1_PRC
21,3_1_INC
21,2_2_SOP
22,1_ENG
22,1_AN1
22,1_ADE
22,1_ASD
22,1_PRG
22,2_1_ALG
22,2_1_MDP
22,2_1_PRC
22,2_2_AN2
22,2_2_BDS
22,2_1_CPS
22,3_1_INC
23,1_ASD
23,1_PRG
23,1_AN1
23,1_ADE
23,1_MDL
23,2_1_ALG
23,2_1_CPS
23,2_1_PRC
23,1_ENG
23,2_2_BDS
23,2_2_AN2
23,2_2_SOP
23,2_1_MDP
23,2_2_FIG
23,3_1_INC
23,3_1_REC
24,1_ASD
24,1_PRG
24,1_AN1
24,2_1_ALG
24,1_ADE
24,2_1_PRC
24,2_2_SOP
24,2_2_BDS
24,2_1_MDP
24,2_2_AN2
24,3_1_INC
24,2_1_CPS
24,1_MDL
24,3_2_CAN
24,3_1_CAZ
24,3_1_REC
24,1_ENG
25,1_ASD
25,1_AN1
25,1_ADE
25,1_ENG
25,2_1_ALG
26,1_ENG
27,1_ENG
27,1_ASD
27,1_AN1
27,1_ADE
27,1_PRG
27,1_MDL
27,2_1_ALG
27,2_1_CPS
27,2_1_MDP
27,2_2_BDS
27,2_2_AN2
27,2_2_SOP
27,2_1_PRC
27,3_1_CAZ
27,3_1_INC
27,3_1_REC
27,3_2_ITE
27,3_2_CAN
27,2_2_FIG
28,1_ENG
28,1_ASD
28,1_ADE
28,1_MDL
28,1_AN1
28,1_PRG
28,2_1_CPS
28,2_1_ALG
28,2_1_PRC
28,2_1_MDP
28,2_2_BDS
28,2_2_AN2
28,2_2_FIG
28,3_1_INC
28,2_2_SOP
28,3_1_REC
28,3_1_CAZ
28,3_2_ITE
28,3_2_CAN
29,1_ASD
29,1_AN1
29,2_1_ALG
30,1_AN1
30,1_ASD
30,1_PRG
30,1_ADE
30,1_MDL
30,2_1_ALG
30,2_1_PRC
30,1_ENG
30,2_2_BDS
30,2_2_AN2
30,2_2_SOP
30,2_1_MDP
30,2_1_CPS
30,3_1_INC
30,3_1_REC
30,3_1_CAZ
30,2_2_FIG
30,3_2_CAN
30,3_2_ITE
31,1_ENG
31,1_ASD
31,1_MDL
31,1_AN1
31,1_PRG
31,1_ADE
31,2_1_ALG
31,2_2_AN2
31,2_2_BDS
31,2_1_CPS
31,2_1_MDP
31,3_1_INC
31,2_1_PRC
31,2_2_SOP
31,3_1_REC
32,1_AN1
32,1_ASD
32,1_PRG
32,2_1_ALG
32,2_1_MDP
32,2_2_AN2
32,2_1_PRC
32,1_ADE
32,1_MDL
32,3_1_INC
32,1_ENG
32,3_2_CAN
32,2_2_BDS
32,2_1_CPS
32,2_2_SOP
32,3_1_REC
33,1_ENG
33,1_ASD
33,1_MDL
33,1_PRG
33,2_1_MDP
33,1_ADE
33,2_1_ALG
33,2_2_BDS
33,3_1_INC
33,1_AN1
33,2_2_AN2
33,2_1_PRC
33,2_1_CPS
33,2_2_SOP
33,3_1_CAZ
33,3_1_REC
34,1_ENG
34,1_ASD
35,1_MDL
35,1_ASD
35,1_PRG
35,1_AN1
35,1_ADE
35,2_2_BDS
35,2_1_ALG
35,3_1_INC
35,2_1_PRC
35,3_2_ITE
35,3_1_CAZ
36,1_ASD
37,1_ENG
37,1_PRG
37,1_ASD
37,1_ADE
37,1_AN1
37,2_2_SOP
37,2_2_BDS
37,2_1_PRC
37,2_1_ALG
37,3_1_INC
37,2_1_MDP
37,1_MDL
37,2_2_AN2
37,3_1_REC
37,2_2_FIG
38,1_ENG
38,1_ASD
38,1_AN1
38,1_PRG
39,1_ASD
39,1_PRG
39,2_1_MDP
39,2_2_BDS
39,1_ADE
39,2_1_PRC
39,3_1_INC
39,3_1_CAZ
39,1_AN1
40,1_ASD
40,2_1_ALG
41,1_ASD
41,1_PRG
41,1_AN1
41,1_ENG
41,2_1_MDP
41,2_2_BDS
41,2_2_AN2
41,2_1_ALG
41,3_2_CAN
41,3_1_CAZ
41,1_MDL
41,2_1_PRC
41,1_ADE
41,2_2_SOP
41,3_1_INC
41,2_1_CPS
41,3_1_REC
42,1_ENG
42,1_ASD
43,1_ASD
43,1_AN1
43,1_PRG
43,1_ENG
43,2_2_AN2
43,2_2_BDS
43,2_1_MDP
43,3_1_INC
43,2_1_ALG
44,1_ENG
44,1_ASD
44,1_PRG
44,2_1_MDP
44,1_ADE
44,1_AN1
44,1_MDL
44,2_1_ALG
44,2_2_BDS
44,2_2_AN2
44,3_1_INC
44,2_1_PRC
44,2_1_CPS
44,3_1_CAZ
44,2_2_SOP
45,1_ASD
45,1_AN1
45,1_PRG
45,2_1_ALG
45,1_ADE
45,1_MDL
45,2_1_MDP
45,2_2_BDS
45,2_2_AN2
45,2_2_SOP
45,2_1_PRC
45,3_1_CAZ
45,3_1_INC
45,3_2_CAN
45,3_1_REC
45,2_1_CPS
45,1_ENG
46,1_ASD
46,1_AN1
46,1_PRG
46,1_MDL
46,1_ADE
46,2_1_ALG
46,2_1_MDP
46,2_1_CPS
46,2_1_PRC
46,1_ENG
46,2_2_BDS
46,2_2_AN2
46,2_2_FIG
46,3_1_CAZ
46,3_1_INC
46,2_2_SOP
46,3_1_REC
46,3_2_CAN
46,3_2_ITE
47,1_ENG
47,1_ASD
47,1_AN1
47,1_MDL
47,1_PRG
47,1_ADE
47,2_1_ALG
47,2_1_CPS
47,2_1_MDP
47,2_1_PRC
47,2_2_BDS
47,3_1_INC
47,3_1_CAZ
47,2_2_SOP
47,3_1_REC
47,3_2_CAN
47,2_2_AN2
47,2_2_FIG
48,1_ASD
48,1_PRG
48,1_ENG
48,1_MDL
49,1_ENG
49,1_AN1
49,1_PRG
49,1_MDL
49,1_ASD
49,1_ADE
49,2_1_CPS
49,2_1_ALG
49,2_1_MDP
49,2_1_PRC
49,2_2_AN2
49,2_2_BDS
49,2_2_SOP
49,2_2_FIG
49,3_1_INC
49,3_1_REC
49,3_1_CAZ
49,3_2_ITE
49,3_2_CAN
50,1_ASD
50,1_ADE
50,1_PRG
50,1_AN1
50,2_1_ALG
50,2_1_MDP
50,1_MDL
50,2_1_PRC
50,2_2_BDS
50,2_2_SOP
50,2_1_CPS
50,3_1_INC
50,3_1_REC
50,3_1_CAZ
50,2_2_AN2
50,3_2_CAN
50,2_2_FIG
50,1_ENG
50,3_2_ITE
51,1_AN1
51,1_ASD
51,1_ENG
51,1_PRG
51,2_1_MDP
51,2_2_AN2
51,2_1_PRC
51,2_1_ALG
51,1_ADE
51,1_MDL
51,3_1_INC
51,3_2_CAN
51,2_2_SOP
51,3_1_REC
52,1_AN1
52,1_ASD
52,1_ENG
52,1_PRG
52,2_1_ALG
52,2_1_MDP
52,2_1_CPS
52,2_1_PRC
52,2_2_AN2
52,2_2_BDS
52,1_ADE
52,1_MDL
52,3_1_INC
52,3_1_CAZ
52,3_2_CAN
52,2_2_SOP
52,3_1_REC
53,1_AN1
53,1_ADE
53,1_PRG
53,1_ENG
53,1_ASD
53,1_MDL
53,2_1_MDP
53,2_1_CPS
53,2_1_ALG
53,2_2_BDS
53,2_1_PRC
54,1_AN1
54,1_ENG
55,1_AN1
55,1_ASD
55,2_1_ALG
55,2_1_CPS
55,2_2_AN2
55,2_2_BDS
55,1_ADE
56,1_ASD
56,1_AN1
56,1_PRG
56,2_1_ALG
56,1_ADE
56,2_2_BDS
56,2_1_PRC
56,2_2_AN2
56,2_1_MDP
56,3_2_ITE
56,1_MDL
56,1_ENG
56,3_1_INC
56,2_2_SOP
56,2_1_CPS
57,1_ENG
57,1_AN1
57,1_ASD
57,2_1_ALG
57,2_2_AN2
57,2_1_CPS
57,1_PRG
57,2_1_MDP
57,2_2_BDS
57,2_1_PRC
57,1_MDL
57,1_ADE
57,2_2_SOP
57,3_1_REC
58,1_ASD
58,1_ENG
58,1_AN1
58,2_1_ALG
59,1_ENG
59,1_ASD
61,1_ASD
61,1_PRG
61,1_ADE
61,1_AN1
61,2_2_BDS
61,2_1_MDP
61,1_MDL
61,3_1_INC
61,2_2_SOP
61,2_2_AN2
61,2_1_ALG
62,1_AN1
63,1_ASD
64,1_ASD
64,1_ENG
64,1_PRG
64,1_ADE
64,2_2_BDS
64,2_2_SOP
65,1_AN1
65,1_ASD
65,1_PRG
65,1_MDL
65,2_1_PRC
65,2_1_ALG
65,1_ENG
65,2_2_BDS
65,2_2_AN2
65,2_2_SOP
65,2_1_MDP
65,1_ADE
65,3_1_REC
65,3_1_INC
65,3_1_CAZ
65,2_1_CPS
65,3_2_CAN
65,3_2_CES
65,2_2_FIG
66,1_ENG
66,1_AN1
66,1_MDL
66,1_ASD
66,1_ADE
66,1_PRG
66,2_1_CPS
66,2_1_ALG
66,2_1_MDP
66,2_1_PRC
66,2_2_BDS
66,2_2_SOP
66,2_2_AN2
66,2_2_FIG
66,3_1_CAZ
66,3_1_INC
66,3_1_REC
66,3_2_ITE
66,3_2_CAN
67,1_ASD
67,1_ADE
67,1_PRG
67,1_ENG
67,1_AN1
67,1_MDL
67,2_1_PRC
68,1_ASD
68,1_AN1
68,2_1_ALG
68,1_PRG
68,2_2_AN2
68,3_1_CAZ
68,3_1_INC
68,2_1_PRC
68,3_2_CAN
68,2_2_BDS
68,2_1_MDP
69,1_ASD
69,1_ADE
69,1_PRG
69,1_AN1
69,2_1_PRC
69,2_2_AN2
69,2_2_BDS
69,2_1_MDP
69,2_1_ALG
69,1_ENG
69,3_1_INC
69,2_2_SOP
69,2_1_CPS
69,3_1_CAZ
69,3_2_CAN
69,1_MDL
69,3_1_REC
70,1_ENG
70,1_ASD
70,1_PRG
70,1_ADE
70,1_AN1
70,2_1_ALG
70,2_1_PRC
70,2_2_BDS
70,2_1_CPS
70,2_1_MDP
70,2_2_AN2
70,1_MDL
70,3_1_CAZ
70,2_2_SOP
70,3_1_INC
70,3_1_REC
70,3_2_CAN
70,2_2_FIG
71,1_ASD
71,1_MDL
71,1_PRG
71,1_AN1
71,1_ENG
71,2_1_ALG
71,2_2_BDS
71,2_2_AN2
71,2_1_MDP
71,2_1_CPS
71,3_1_INC
71,3_2_CAN
71,3_1_CAZ
71,1_ADE
71,2_2_SOP
71,2_1_PRC
71,3_1_REC
72,1_AN1
72,1_ASD
72,1_ADE
72,1_PRG
72,1_ENG
72,2_1_ALG
72,2_1_MDP
72,1_MDL
72,2_1_PRC
72,2_2_BDS
72,2_2_AN2
72,2_1_CPS
72,2_2_SOP
72,3_1_INC
72,3_1_REC
72,3_2_ITE
72,3_2_CAN
72,3_2_CES
72,3_1_CAZ
72,2_2_FIG
73,1_AN1
73,1_ASD
73,1_PRG
73,2_1_ALG
73,2_1_MDP
73,2_2_BDS
73,2_2_AN2
73,2_1_CPS
73,2_1_PRC
73,1_ADE
73,2_2_SOP
73,3_1_CAZ
74,1_ASD
74,1_PRG
74,1_AN1
74,1_ADE
74,2_1_MDP
74,2_1_CPS
74,2_2_BDS
74,2_2_SOP
74,2_2_AN2
74,1_MDL
74,3_1_REC
74,3_1_INC
74,3_1_CAZ
74,2_1_PRC
74,1_ENG
74,2_1_ALG
74,2_2_FIG
75,1_ENG
75,1_ASD
75,1_PRG
75,2_2_BDS
75,1_AN1
76,1_ENG
76,1_AN1
76,1_MDL
76,1_ASD
76,1_PRG
76,1_ADE
76,2_2_AN2
76,2_1_ALG
77,1_ENG
78,1_ENG
78,1_AN1
78,1_ASD
78,1_PRG
78,2_2_FIG
78,1_ADE
78,2_1_CPS
78,2_1_ALG
78,2_1_MDP
78,2_1_PRC
78,1_MDL
78,2_2_AN2
78,2_2_BDS
78,2_2_SOP
79,1_ENG
79,1_ASD
79,1_AN1
79,2_1_ALG
79,1_PRG
79,2_1_MDP
79,2_2_AN2
79,2_1_CPS
79,2_1_PRC
79,2_2_BDS
79,1_ADE
79,1_MDL
79,3_1_CAZ
79,3_1_INC
79,2_2_SOP
79,3_1_REC
80,1_ENG
80,1_AN1
80,1_MDL
80,1_ASD
80,1_PRG
80,1_ADE
80,2_1_ALG
80,2_1_CPS
80,2_1_PRC
