Anno Accademico,Hash Docente/i,Insegnamento,Produttivita - N,Produttivita - Ritardo Medio,Produttivita - Ritardo P>=1y,Produttivita - Voto Medio,Produttivita - Voto P>=24,Produttivita - Voto Std Dev,Val_ Aspetti specifici del Corso di Studi - Media,Val_ Aspetti specifici del Corso di Studi - P>=6,Val_ Aspetti specifici del Corso di Studi - Std Dev,Val_ Aule ed attrezzature - Media,Val_ Aule ed attrezzature - P>=6,Val_ Aule ed attrezzature - Std Dev,Val_ Docente - Media,Val_ Docente - P>=6,Val_ Docente - Std Dev,Val_ Informazioni aggiuntive - Media,Val_ Informazioni aggiuntive - P>=6,Val_ Informazioni aggiuntive - Std Dev,Val_ N,Val_ Organizzazione Corso di Studi - Media,Val_ Organizzazione Corso di Studi - P>=6,Val_ Organizzazione Corso di Studi - Std Dev,Val_ Organizzazione Insegnamento - Media,Val_ Organizzazione Insegnamento - P>=6,Val_ Organizzazione Insegnamento - Std Dev,Val_ Soddisfazione - Media,Val_ Soddisfazione - P>=6,Val_ Soddisfazione - Std Dev
2013-2014,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,25-50,0-0.5,20-40,22-25,40-60,3-5,6-8,80-100,1.5-3,,,,6-8,80-100,1.5-3,,,,25-50,,,,6-8,80-100,1.5-3,6-8,80-100,1.5-3
2013-2014,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,25-50,0-0.5,20-40,25-28,80-100,1.5-3,6-8,80-100,1.5-3,,,,8-10,80-100,1.5-3,,,,25-50,,,,6-8,80-100,1.5-3,8-10,80-100,1.5-3
2013-2014,7acf3f684e24,RETI DI CALCOLATORI,0-25,0-0.5,20-40,28-31,80-100,1.5-3,6-8,80-100,1.5-3,,,,8-10,80-100,0-1.5,,,,25-50,,,,8-10,80-100,1.5-3,8-10,80-100,0-1.5
2013-2014,9000fdc450fb,INFORMATICA TEORICA,0-25,0.5-1,40-60,25-28,60-80,3-5,6-8,80-100,0-1.5,,,,6-8,80-100,1.5-3,,,,25-50,,,,6-8,80-100,1.5-3,6-8,60-80,1.5-3
2013-2014,fc2f8485971a,CALCOLO NUMERICO,0-25,0-0.5,0-20,22-25,60-80,1.5-3,8-10,80-100,0-1.5,,,,8-10,80-100,0-1.5,,,,0-25,,,,6-8,80-100,1.5-3,6-8,80-100,1.5-3
2013-2014,02ec81a0c16a,SISTEMI OPERATIVI,25-50,0-0.5,20-40,25-28,60-80,1.5-3,6-8,80-100,1.5-3,,,,6-8,80-100,1.5-3,,,,25-50,,,,6-8,80-100,0-1.5,6-8,80-100,1.5-3
2013-2014,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,25-50,0-0.5,20-40,22-25,40-60,3-5,6-8,80-100,1.5-3,,,,8-10,80-100,1.5-3,,,,25-50,,,,6-8,80-100,1.5-3,6-8,80-100,1.5-3
2013-2014,b7322f753612,ALGEBRA LINEARE,25-50,0-0.5,20-40,22-25,60-80,3-5,6-8,80-100,1.5-3,,,,8-10,80-100,0-1.5,,,,25-50,,,,6-8,60-80,1.5-3,6-8,60-80,1.5-3
2013-2014,46a40e083cb3,PROGRAMMAZIONE,50-100,0-0.5,20-40,25-28,80-100,3-5,6-8,60-80,1.5-3,,,,6-8,80-100,1.5-3,,,,50-100,,,,6-8,80-100,1.5-3,8-10,80-100,1.5-3
2013-2014,ea586dede443,MATEMATICA DISCRETA E LOGICA,25-50,0.5-1,40-60,22-25,40-60,3-5,6-8,60-80,1.5-3,,,,8-10,80-100,0-1.5,,,,50-100,,,,6-8,80-100,1.5-3,6-8,80-100,1.5-3
2013-2014,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,25-50,0.5-1,40-60,22-25,40-60,3-5,6-8,60-80,1.5-3,,,,6-8,80-100,1.5-3,,,,50-100,,,,6-8,80-100,1.5-3,6-8,80-100,1.5-3
2013-2014,bfe4b3521c4f,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,50-100,0.5-1,80-100,25-28,60-80,3-5,6-8,80-100,1.5-3,,,,8-10,80-100,0-1.5,,,,50-100,,,,8-10,80-100,1.5-3,8-10,80-100,1.5-3
2013-2014,3cba32344644,ALGORITMI E STRUTTURE DATI,50-100,0-0.5,0-20,25-28,60-80,3-5,6-8,60-80,1.5-3,,,,8-10,80-100,0-1.5,,,,50-100,,,,8-10,80-100,1.5-3,8-10,80-100,0-1.5
2012-2013,7acf3f684e24,RETI DI CALCOLATORI,0-25,0-0.5,0-20,28-31,80-100,1.5-3,6-8,80-100,1.5-3,,,,6-8,80-100,1.5-3,,,,0-25,,,,6-8,80-100,1.5-3,6-8,80-100,1.5-3
2012-2013,9000fdc450fb,INFORMATICA TEORICA,0-25,0-0.5,0-20,28-31,80-100,1.5-3,8-10,80-100,0-1.5,,,,8-10,80-100,0-1.5,,,,0-25,,,,8-10,80-100,0-1.5,6-8,80-100,0-1.5
2012-2013,fc2f8485971a,CALCOLO NUMERICO,0-25,0-0.5,0-20,25-28,60-80,3-5,8-10,80-100,0-1.5,,,,8-10,80-100,0-1.5,,,,0-25,,,,6-8,60-80,1.5-3,6-8,60-80,1.5-3
2012-2013,d5ea9d863079,SISTEMI OPERATIVI,0-25,0-0.5,40-60,22-25,60-80,1.5-3,,,,,,,8-10,80-100,0-1.5,,,,0-25,,,,8-10,80-100,0-1.5,8-10,80-100,0-1.5
