Anno Accademico,Aspetti specifici del Corso di Studi - N [istanze],Aspetti specifici del Corso di Studi - Std Dev [media pesata],Aspetti specifici del Corso di Studi - Val >= 6 [percent],Aspetti specifici del Corso di Studi - Val [media pesata],Aule ed attrezzature - N [istanze],Aule ed attrezzature - Std Dev [media pesata],Aule ed attrezzature - Val >= 6 [percent],Aule ed attrezzature - Val [media pesata],Docente - N [istanze],Docente - Std Dev [media pesata],Docente - Val >= 6 [percent],Docente - Val [media pesata],Hash Docente/i,Informazioni aggiuntive - N [istanze],Informazioni aggiuntive - Std Dev [media pesata],Informazioni aggiuntive - Val >= 6 [percent],Informazioni aggiuntive - Val [media pesata],Insegnamento,Organizzazione Corso di Studi - N [istanze],Organizzazione Corso di Studi - Std Dev [media pesata],Organizzazione Corso di Studi - Val >= 6 [percent],Organizzazione Corso di Studi - Val [media pesata],Organizzazione Insegnamento - N [istanze],Organizzazione Insegnamento - Std Dev [media pesata],Organizzazione Insegnamento - Val >= 6 [percent],Organizzazione Insegnamento - Val [media pesata],Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],Produttivita Studenti - Ritardo [semestre media],Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Soddisfazione - N [istanze],Soddisfazione - Std Dev [media pesata],Soddisfazione - Val >= 6 [percent],Soddisfazione - Val [media pesata],]
2010-2011,,,,,24,2.05,75.53,7.12,25,1.69,83.53,7.42,e24a83c86583,25,1.92,84.26,7.48,BASI DI DATI E SISTEMI INFORMATIVI,25,1.45,92.67,7.61,24,1.65,82.72,7.55,16,44,,93.75,27.44,2.78,,,,,
2010-2011,,,,,34,1.64,93.43,8.14,34,1.68,94.75,8.58,e2afee673f6c,34,2.01,87.91,7.85,ALGORITMI E STRUTTURE DATI,35,2,80.77,7.76,35,1.79,91.7,8.33,28,7,,75,25.68,3.5,,,,,
2010-2011,,,,,16,1.96,90.32,8.06,22,1.5,96.43,8.62,004dadc96b11,22,1.73,89.89,8.05,METODOLOGIE DI PROGRAMMAZIONE,23,1.52,92.75,7.77,19,1.71,89.33,8.03,16,62,,81.25,26.56,3.1,,,,,
2010-2011,,,,,37,1.63,92.52,8.28,27,1.75,73.24,7.05,ebf305b5bf29,27,1.9,74.08,6.93,ARCHITETTURE DEGLI ELABORATORI,27,1.61,84.65,7.54,30,1.9,72.52,6.92,16,69,,93.75,26.44,2.57,,,,,
2010-2011,,,,,18,1.77,92.96,7.75,19,1.85,90.15,8,4f812cbf2546,19,2.1,85.81,7.8,SISTEMI OPERATIVI,20,1.83,81.2,6.99,18,1.89,80.82,7.52,14,50,,92.86,26.29,2.08,,,,,
2010-2011,,,,,13,1.6,76.92,7.23,11,1.59,84.26,8.32,1f95a18256cd,11,1.8,84.89,7.74,CALCOLO NUMERICO,10,1.71,86.67,7.83,12,2.32,76.06,7.28,4,25,,75,26,3.24,,,,,
2010-2011,,,,,16,1.63,96.97,8.12,16,1.87,74.23,7.42,abab2d838ed5,17,2.36,61.65,6.82,PROGRAMMAZIONE,16,1.73,88.17,7.8,16,1.97,73.64,7.17,23,30,,82.61,25.74,2.91,,,,,
2010-2011,,,,,20,1.53,96.25,7.86,34,1.67,76.11,7.06,44acacef1271,34,1.88,65.8,6.41,MATEMATICA DISCRETA E LOGICA,34,1.54,76.47,6.99,34,2.13,57.28,6.1,17,41,,47.06,23.76,3.67,,,,,
2010-2011,,,,,28,1.6,97.3,8.16,41,1.63,90.64,8.3,73c6aab4e2e2,41,1.72,87.31,7.91,PROGRAMMAZIONE CONCORRENTE,41,1.51,85.08,7.27,35,1.74,83.87,7.68,18,61,,61.11,25.06,4.25,,,,,
2010-2011,,,,,13,1.58,94.34,7.96,19,1.46,92.11,8.15,7b1f4e0bdb33,20,1.9,78.34,7.18,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,20,1.59,83.05,7.47,16,2.02,78.46,7.42,23,74,,69.57,25.65,4.07,,,,,
