Anno Accademico,Aspetti specifici del Corso di Studi - N [istanze],Aspetti specifici del Corso di Studi - Std Dev [media pesata],Aspetti specifici del Corso di Studi - Val >= 6 [percent],Aspetti specifici del Corso di Studi - Val [media pesata],Aule ed attrezzature - N [istanze],Aule ed attrezzature - Std Dev [media pesata],Aule ed attrezzature - Val >= 6 [percent],Aule ed attrezzature - Val [media pesata],Docente - N [istanze],Docente - Std Dev [media pesata],Docente - Val >= 6 [percent],Docente - Val [media pesata],Hash Docente/i,Informazioni aggiuntive - N [istanze],Informazioni aggiuntive - Std Dev [media pesata],Informazioni aggiuntive - Val >= 6 [percent],Informazioni aggiuntive - Val [media pesata],Insegnamento,Organizzazione Corso di Studi - N [istanze],Organizzazione Corso di Studi - Std Dev [media pesata],Organizzazione Corso di Studi - Val >= 6 [percent],Organizzazione Corso di Studi - Val [media pesata],Organizzazione Insegnamento - N [istanze],Organizzazione Insegnamento - Std Dev [media pesata],Organizzazione Insegnamento - Val >= 6 [percent],Organizzazione Insegnamento - Val [media pesata],Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],Produttivita Studenti - Ritardo [semestre media],Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Soddisfazione - N [istanze],Soddisfazione - Std Dev [media pesata],Soddisfazione - Val >= 6 [percent],Soddisfazione - Val [media pesata],]
2010-2011,,,,,0-25,1.5-3,60-80,6-8,25-50,1.5-3,80-100,6-8,e24a83c86583,25-50,1.5-3,80-100,6-8,BASI DI DATI E SISTEMI INFORMATIVI,25-50,0-1.5,80-100,6-8,0-25,1.5-3,80-100,6-8,0-25,40-60,,80-100,25-28,2.78,,,,,
2010-2011,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,e2afee673f6c,25-50,1.5-3,80-100,6-8,ALGORITMI E STRUTTURE DATI,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10,25-50,0-20,,60-80,25-28,3.5,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,8-10,004dadc96b11,0-25,1.5-3,80-100,8-10,METODOLOGIE DI PROGRAMMAZIONE,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,0-25,60-80,,80-100,25-28,3.1,,,,,
2010-2011,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,60-80,6-8,ebf305b5bf29,25-50,1.5-3,60-80,6-8,ARCHITETTURE DEGLI ELABORATORI,25-50,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,0-25,60-80,,80-100,25-28,2.57,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,4f812cbf2546,0-25,1.5-3,80-100,6-8,SISTEMI OPERATIVI,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,0-25,40-60,,80-100,25-28,2.08,,,,,
2010-2011,,,,,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,8-10,1f95a18256cd,0-25,1.5-3,80-100,6-8,CALCOLO NUMERICO,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,0-25,20-40,,60-80,25-28,3.24,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,60-80,6-8,abab2d838ed5,0-25,1.5-3,60-80,6-8,PROGRAMMAZIONE,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,0-25,20-40,,80-100,25-28,2.91,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,44acacef1271,25-50,1.5-3,60-80,6-8,MATEMATICA DISCRETA E LOGICA,25-50,1.5-3,60-80,6-8,25-50,1.5-3,40-60,6-8,0-25,40-60,,40-60,22-25,3.67,,,,,
2010-2011,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,73c6aab4e2e2,25-50,1.5-3,80-100,6-8,PROGRAMMAZIONE CONCORRENTE,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,0-25,60-80,,60-80,25-28,4.25,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,6-8,0-25,0-1.5,80-100,8-10,7b1f4e0bdb33,0-25,1.5-3,60-80,6-8,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,0-25,60-80,,60-80,25-28,4.07,,,,,
