Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],Produttivita Studenti - Ritardo [semestre media],Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - N [istanze],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val [media pesata],Valutazione Insegnamento - Aule ed attrezzature - N [istanze],Valutazione Insegnamento - Aule ed attrezzature - Std Dev [media pesata],Valutazione Insegnamento - Aule ed attrezzature - Val >= 6 [percent],Valutazione Insegnamento - Aule ed attrezzature - Val [media pesata],Valutazione Insegnamento - Docente - N [istanze],Valutazione Insegnamento - Docente - Std Dev [media pesata],Valutazione Insegnamento - Docente - Val >= 6 [percent],Valutazione Insegnamento - Docente - Val [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - N [istanze],Valutazione Insegnamento - Informazioni aggiuntive - Std Dev [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - Val >= 6 [percent],Valutazione Insegnamento - Informazioni aggiuntive - Val [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - N [istanze],Valutazione Insegnamento - Organizzazione Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Corso di Studi - Val [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - N [istanze],Valutazione Insegnamento - Organizzazione Insegnamento - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Soddisfazione - N [istanze],Valutazione Insegnamento - Soddisfazione - Std Dev [media pesata],Valutazione Insegnamento - Soddisfazione - Val >= 6 [percent],Valutazione Insegnamento - Soddisfazione - Val [media pesata],]
2010-2011,e24a83c86583,BASI DI DATI E SISTEMI INFORMATIVI,0-25,40-60,,80-100,25-28,2.78,,,,,0-25,1.5-3,60-80,6-8,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,25-50,0-1.5,80-100,6-8,0-25,1.5-3,80-100,6-8,,,,,
2010-2011,e2afee673f6c,ALGORITMI E STRUTTURE DATI,25-50,0-20,,60-80,25-28,3.5,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10,,,,,
2010-2011,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,0-25,60-80,,80-100,25-28,3.1,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,,,,,
2010-2011,ebf305b5bf29,ARCHITETTURE DEGLI ELABORATORI,0-25,60-80,,80-100,25-28,2.57,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,,,,,
2010-2011,4f812cbf2546,SISTEMI OPERATIVI,0-25,40-60,,80-100,25-28,2.08,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,,,,,
2010-2011,1f95a18256cd,CALCOLO NUMERICO,0-25,20-40,,60-80,25-28,3.24,,,,,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,,,,,
2010-2011,abab2d838ed5,PROGRAMMAZIONE,0-25,20-40,,80-100,25-28,2.91,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,60-80,6-8,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,,,,,
2010-2011,44acacef1271,MATEMATICA DISCRETA E LOGICA,0-25,40-60,,40-60,22-25,3.67,,,,,0-25,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,40-60,6-8,,,,,
2010-2011,73c6aab4e2e2,PROGRAMMAZIONE CONCORRENTE,0-25,60-80,,60-80,25-28,4.25,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,,,,,
2010-2011,7b1f4e0bdb33,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,0-25,60-80,,60-80,25-28,4.07,,,,,0-25,1.5-3,80-100,6-8,0-25,0-1.5,80-100,8-10,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,,,,,
2011-2012,fc2f8485971a,CALCOLO NUMERICO,0-25,0-20,,60-80,22-25,3.04,0-25,1.5-3,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,
2011-2012,9000fdc450fb,INFORMATICA TEORICA,0-25,60-80,,40-60,22-25,3.8,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,8-10,25-50,0-1.5,80-100,8-10,
2011-2012,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,0-25,60-80,,80-100,22-25,2.09,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,25-50,0-1.5,80-100,8-10,
2011-2012,2b1ffcc8eee2,PROGRAMMAZIONE CONCORRENTE,0-25,60-80,,40-60,22-25,3.54,0-25,1.5-3,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,
2011-2012,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,0-25,60-80,,20-40,18-22,3.29,25-50,1.5-3,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
2011-2012,3cba32344644,ALGORITMI E STRUTTURE DATI,25-50,0-20,,80-100,25-28,2.49,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,0-1.5,80-100,8-10,
2011-2012,d5ea9d863079,SISTEMI OPERATIVI,0-25,60-80,,40-60,22-25,2.31,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,0-1.5,80-100,8-10,
2012-2013,9000fdc450fb,INFORMATICA TEORICA,0-25,80-100,,40-60,22-25,3.81,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,6-8,
2012-2013,d4b42520842d,ALGEBRA LINEARE,25-50,60-80,,60-80,22-25,3.79,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,
2012-2013,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,25-50,20-40,,40-60,22-25,3.79,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
2012-2013,fc2f8485971a,CALCOLO NUMERICO,0-25,0-20,,60-80,22-25,2.99,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,60-80,6-8,0-25,1.5-3,60-80,6-8,
2012-2013,46a40e083cb3,PROGRAMMAZIONE,50-100,20-40,,60-80,25-28,4.02,25-50,0-1.5,80-100,8-10,,,,,50-100,1.5-3,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,8-10,
2012-2013,3cba32344644,ALGORITMI E STRUTTURE DATI,50-100,0-20,,80-100,25-28,3.59,50-100,0-1.5,80-100,8-10,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,0-1.5,80-100,8-10,
2012-2013,7acf3f684e24,RETI DI CALCOLATORI,25-50,20-40,,80-100,25-28,2.58,0-25,1.5-3,80-100,6-8,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,
2012-2013,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,25-50,60-80,,60-80,25-28,3.77,0-25,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,60-80,6-8,50-100,1.5-3,80-100,6-8,
2012-2013,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,25-50,20-40,,40-60,22-25,3.1,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10,
2012-2013,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,25-50,40-60,,40-60,22-25,3.51,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8,
