Insegnamento,Hash Docente/i,Docente - Media,Docente - P<6,Docente - P>=6,Docente - N,Organizzazione Insegnamento - Media,Organizzazione Insegnamento - P<6,Organizzazione Insegnamento - P>=6,Organizzazione Insegnamento - N,Soddisfazione - Media,Soddisfazione - P<6,Soddisfazione - P>=6,Soddisfazione - N,Aspetti specifici del Corso di Studi - Media,Aspetti specifici del Corso di Studi - P<6,Aspetti specifici del Corso di Studi - P>=6,Aspetti specifici del Corso di Studi - N,Produttivita Studenti - N,Produttivita Studenti - P>=24,Produttivita Studenti - P<24,Produttivita Studenti - Media,Anno Accademico,Docente - Std Dev,Organizzazione Insegnamento - Std Dev,Soddisfazione - Std Dev,Aspetti specifici del Corso di Studi - Std Dev,Produttivita Studenti - Std Dev
PROGRAMMAZIONE CONCORRENTE,ebf305b5bf29,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,40-60,40-60,40-60,22-25,2013-2014,1.5-3,1.5-3,1.5-3,1.5-3,3-5
METODOLOGIE DI PROGRAMMAZIONE,004dadc96b11,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,40-60,80-100,0-20,25-28,2013-2014,1.5-3,1.5-3,1.5-3,1.5-3,1.5-3
INFORMATICA TEORICA,9000fdc450fb,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,20-40,60-80,0-20,6-8,0-20,80-100,0-20,0-20,60-80,20-40,25-28,2013-2014,1.5-3,1.5-3,1.5-3,0-1.5,3-5
CALCOLO NUMERICO,fc2f8485971a,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,8-10,0-20,80-100,0-20,0-20,60-80,20-40,22-25,2013-2014,0-1.5,1.5-3,1.5-3,0-1.5,1.5-3
SISTEMI OPERATIVI,02ec81a0c16a,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,20-40,60-80,20-40,25-28,2013-2014,1.5-3,0-1.5,1.5-3,1.5-3,1.5-3
BASI DI DATI E SISTEMI INFORMATIVI,074aa5f763ed,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,20-40,40-60,40-60,22-25,2013-2014,1.5-3,1.5-3,1.5-3,1.5-3,3-5
ALGEBRA LINEARE,b7322f753612,8-10,0-20,80-100,0-20,6-8,20-40,60-80,0-20,6-8,20-40,60-80,0-20,6-8,0-20,80-100,0-20,20-40,60-80,20-40,22-25,2013-2014,0-1.5,1.5-3,1.5-3,1.5-3,3-5
MATEMATICA DISCRETA E LOGICA,ea586dede443,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,20-40,60-80,0-20,20-40,40-60,40-60,22-25,2013-2014,0-1.5,1.5-3,1.5-3,1.5-3,3-5
ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,bfe4b3521c4f,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,8-10,0-20,80-100,0-20,6-8,0-20,80-100,0-20,40-60,60-80,20-40,25-28,2013-2014,0-1.5,1.5-3,1.5-3,1.5-3,3-5
ARCHITETTURE DEGLI ELABORATORI,73a131af52a0,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,0-20,80-100,0-20,6-8,20-40,60-80,0-20,40-60,40-60,40-60,22-25,2013-2014,1.5-3,1.5-3,1.5-3,1.5-3,3-5
