Insegnamento,Anno Accademico,Numero Studenti,Hash Docente/i,Docente - Media,Docente - Std Dev,Docente - P<6,Docente - P>=6,Organizzazione Insegnamento - Media,Organizzazione Insegnamento - P<6,Organizzazione Insegnamento - P>=6,Organizzazione Insegnamento - Std Dev,Produttivita Studenti - P>=24,Produttivita Studenti - P<24,Produttivita Studenti - Media,Produttivita Studenti - Std Dev
INFORMATICA TEORICA,2013-2014,0-20,9000fdc450fb,6-8,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,60-80,20-40,25-28,3-5
CALCOLO NUMERICO,2013-2014,0-20,fc2f8485971a,8-10,0-1.5,0-20,80-100,6-8,0-20,80-100,1.5-3,60-80,20-40,22-25,1.5-3
RETI DI CALCOLATORI,2013-2014,0-20,7acf3f684e24,8-10,0-1.5,0-20,80-100,8-10,0-20,80-100,1.5-3,100-120,0-20,28-31,1.5-3
RETI DI CALCOLATORI,2012-2013,0-20,7acf3f684e24,6-8,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,100-120,0-20,28-31,1.5-3
CALCOLO NUMERICO,2012-2013,0-20,fc2f8485971a,8-10,0-1.5,0-20,80-100,6-8,20-40,60-80,1.5-3,60-80,20-40,25-28,3-5
BASI DI DATI E SISTEMI INFORMATIVI,2012-2013,0-20,074aa5f763ed,6-8,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,80-100,0-20,25-28,1.5-3
PROGRAMMAZIONE CONCORRENTE,2012-2013,0-20,ebf305b5bf29,6-8,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,40-60,40-60,22-25,3-5
METODOLOGIE DI PROGRAMMAZIONE,2012-2013,0-20,004dadc96b11,8-10,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,80-100,0-20,25-28,1.5-3
ALGEBRA LINEARE,2012-2013,0-20,d4b42520842d,8-10,0-1.5,0-20,100-120,6-8,0-20,80-100,1.5-3,20-40,60-80,22-25,3-5
INFORMATICA TEORICA,2012-2013,0-20,9000fdc450fb,8-10,0-1.5,0-20,100-120,8-10,0-20,80-100,0-1.5,100-120,0-20,28-31,1.5-3
ALGEBRA LINEARE,2011-2012,0-20,b7322f753612,8-10,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,40-60,40-60,22-25,3-5
ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,2011-2012,0-20,d67481237fa7,8-10,0-1.5,0-20,80-100,8-10,0-20,80-100,0-1.5,80-100,0-20,25-28,3-5
MATEMATICA DISCRETA E LOGICA,2011-2012,0-20,c0d54a2cf1f7,8-10,0-1.5,0-20,80-100,6-8,0-20,80-100,1.5-3,20-40,60-80,22-25,1.5-3
PROGRAMMAZIONE CONCORRENTE,2011-2012,0-20,2b1ffcc8eee2,6-8,1.5-3,20-40,60-80,6-8,20-40,60-80,1.5-3,80-100,0-20,25-28,1.5-3
ARCHITETTURE DEGLI ELABORATORI,2011-2012,0-20,73a131af52a0,6-8,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,60-80,20-40,22-25,1.5-3
METODOLOGIE DI PROGRAMMAZIONE,2011-2012,0-20,004dadc96b11,8-10,0-1.5,0-20,80-100,6-8,0-20,80-100,1.5-3,80-100,0-20,25-28,1.5-3
BASI DI DATI E SISTEMI INFORMATIVI,2011-2012,0-20,074aa5f763ed,6-8,1.5-3,0-20,80-100,8-10,0-20,80-100,1.5-3,80-100,0-20,25-28,1.5-3
SISTEMI OPERATIVI,2011-2012,0-20,d5ea9d863079,8-10,1.5-3,0-20,80-100,6-8,0-20,80-100,1.5-3,100-120,0-20,25-28,1.5-3
ARCHITETTURE DEGLI ELABORATORI,2010-2011,0-20,ebf305b5bf29,6-8,1.5-3,20-40,60-80,6-8,20-40,60-80,1.5-3,100-120,0-20,28-31,0-1.5
ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,2010-2011,0-20,7b1f4e0bdb33,8-10,0-1.5,0-20,80-100,6-8,0-20,80-100,1.5-3,60-80,20-40,25-28,3-5
MATEMATICA DISCRETA E LOGICA,2010-2011,0-20,44acacef1271,6-8,1.5-3,20-40,60-80,6-8,40-60,40-60,1.5-3,40-60,40-60,22-25,3-5
PROGRAMMAZIONE,2010-2011,0-20,abab2d838ed5,6-8,1.5-3,20-40,60-80,6-8,20-40,60-80,1.5-3,80-100,0-20,25-28,1.5-3
