coorte,test,voto_diploma,tipo_scuola,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,ALG,data_ALG,ANII,data_ANII,MP,data_MP,PC,data_PC,BDSI,data_BDSI,CPS,data_CPS,FIS,data_FIS,SO,data_SO,CAL,data_CAL,IT,data_IT,CS,data_CS,IntC,data_IntC,RETI,data_RETI,CAz,data_CAz
2010,13,82,TC,105,99,23,22,2011-06-15,24,2014-01-28,21,2012-02-23,19,2013-07-18,24,2012-09-13,0,2013-09-26,26,2012-01-17,0,0,24,2013-02-14,25,2013-01-15,24,2012-09-25,22,2013-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-06-11
2010,22,75,LS,129,123,27,28,2011-07-06,26,2012-09-20,25,2011-09-23,29,2011-07-26,22,2012-07-12,0,2011-06-21,25,2012-01-13,0,0,0,0,30,2013-01-15,26,2013-02-26,31,2013-07-29,0,0,26,2013-09-25,0,0,31,2014-01-20,26,2013-10-01,0,0,31,2014-02-10,0,2013-02-07
2010,16,100,LS,180,159,29,31,2011-06-15,30,2011-08-30,28,2011-06-20,28,2011-06-10,30,2011-07-07,0,2011-10-18,31,2012-01-13,28,2012-02-22,31,2012-09-07,31,2012-01-31,31,2012-06-26,31,2013-06-10,31,2012-07-05,30,2012-09-25,26,2014-01-07,31,2013-01-14,25,2013-09-18,0,0,31,2013-01-30,0,2013-02-07
2010,19,69,LS,132,126,26,26,2011-06-15,24,2012-09-24,23,2011-06-20,30,2011-09-09,30,2011-07-27,0,2011-10-04,31,2012-01-13,18,2012-03-16,25,2012-07-24,22,2012-03-06,27,2012-06-26,29,2013-07-01,0,0,0,0,0,0,30,2014-02-25,26,2013-07-29,0,0,0,0,0,2013-02-07
2010,18,76,LS,111,105,27,26,2011-06-15,30,2013-07-24,26,2011-07-11,23,2011-09-09,24,2013-09-11,0,2011-06-09,0,0,0,0,26,2012-06-15,27,2013-01-16,30,2013-09-20,0,0,0,0,28,2013-09-25,0,0,31,2014-01-20,0,0,0,0,30,2014-02-27,0,2014-01-10
2010,15,89,LC,114,108,24,24,2011-06-15,25,2012-07-30,24,2011-07-11,24,2011-09-09,27,2013-07-03,0,2011-10-25,18,2012-09-20,18,2012-06-22,29,2013-01-11,20,2014-01-27,25,2013-07-05,24,2013-09-12,0,0,25,2012-09-25,0,0,0,0,0,0,0,0,0,0,0,2013-06-11
2010,18,73,IT,108,105,26,30,2012-01-18,24,2012-07-17,31,2011-07-22,30,2011-06-10,20,2012-02-27,0,2012-10-11,26,2014-02-13,0,0,21,2014-01-22,22,2014-02-24,29,2013-06-26,0,0,30,2013-02-26,26,2013-09-11,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,66,LS,72,67,24,18,2011-07-22,0,0,0,0,0,0,0,0,0,2011-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,8,62,LS,24,24,20,21,2011-07-06,0,0,0,0,19,2011-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,13,86,IT,135,129,23,27,2011-07-22,24,2012-02-19,24,2011-07-11,28,2011-07-01,20,2013-07-03,0,2011-02-22,21,2012-07-06,18,2013-01-22,23,2012-07-09,19,2013-07-19,25,2013-07-08,18,2013-07-29,0,0,26,2013-01-07,0,0,22,2014-02-24,0,0,0,0,28,2014-01-20,0,2013-07-09
2010,19,100,LS,180,159,29,30,2011-07-06,29,2011-09-13,26,2011-06-20,31,2011-06-10,27,2011-07-25,0,2011-09-27,31,2012-01-13,18,2012-01-17,28,2012-06-15,30,2012-01-27,31,2012-06-26,27,2012-09-13,30,2012-02-07,28,2013-06-12,30,2013-06-10,31,2013-02-13,30,2013-06-13,0,0,30,2013-06-18,0,2013-02-07
